stock_id,name,sector
IFSH,Ifishdeco Tbk.,Basic Materials
IFII,Indonesia Fibreboard Industry ,Basic Materials
AYLS,Agro Yasa Lestari Tbk.,Basic Materials
SAMF,Saraswanti Anugerah Makmur Tbk,Basic Materials
EPAC,Megalestari Epack Sentosaraya ,Basic Materials
BEBS,Berkah Beton Sadaya Tbk.,Basic Materials
NPGF,Nusa Palapa Gemilang Tbk.,Basic Materials
ARCI,Archi Indonesia Tbk.,Basic Materials
NICL,PAM Mineral Tbk.,Basic Materials
SBMA,Surya Biru Murni Acetylene Tbk,Basic Materials
CMNT,Cemindo Gemilang Tbk.,Basic Materials
OBMD,OBM Drilchem Tbk.,Basic Materials
AVIA,Avia Avian Tbk.,Basic Materials
CHEM,Chemstar Indonesia Tbk.,Basic Materials
KKES,Kusuma Kemindo Sentosa Tbk.,Basic Materials
PDPP,Primadaya Plastisindo Tbk.,Basic Materials
FWCT,Wijaya Cahaya Timber Tbk.,Basic Materials
PACK,Abadi Nusantara Hijau Investam,Basic Materials
NCKL,Trimegah Bangun Persada Tbk.,Basic Materials
MBMA,Merdeka Battery Materials Tbk.,Basic Materials
AMMN,Amman Mineral Internasional Tb,Basic Materials
PPRI,Paperocks Indonesia Tbk.,Basic Materials
NICE,Adhi Kartiko Pratama Tbk.,Basic Materials
SMLE,Sinergi Multi Lestarindo Tbk.,Basic Materials
SMGA,Sumber Mineral Global Abadi Tb,Basic Materials
SOLA,Xolare RCR Energy Tbk.,Basic Materials
BATR,Benteng Api Technic Tbk.,Basic Materials
BLES,Superior Prima Sukses Tbk.,Basic Materials
PTMR,Master Print Tbk.,Basic Materials
DAAZ,Daaz Bara Lestari Tbk.,Basic Materials
DGWG,Delta Giri Wacana Tbk.,Basic Materials
ABDA,Asuransi Bina Dana Arta Tbk.,Financials
ADMF,Adira Dinamika Multi Finance T,Financials
AGRO,Bank Raya Indonesia Tbk.,Financials
AGRS,Bank IBK Indonesia Tbk.,Financials
AHAP,Asuransi Harta Aman Pratama Tb,Financials
AMAG,Asuransi Multi Artha Guna Tbk.,Financials
APIC,Pacific Strategic Financial Tb,Financials
ARTO,Bank Jago Tbk.,Financials
ASBI,Asuransi Bintang Tbk.,Financials
ASDM,Asuransi Dayin Mitra Tbk.,Financials
ASJT,Asuransi Jasa Tania Tbk.,Financials
ASMI,Asuransi Maximus Graha Persada,Financials
ASRM,Asuransi Ramayana Tbk.,Financials
BABP,Bank MNC Internasional Tbk.,Financials
BACA,Bank Capital Indonesia Tbk.,Financials
BBCA,Bank Central Asia Tbk.,Financials
BBHI,Allo Bank Indonesia Tbk.,Financials
BBKP,Bank KB Bukopin Tbk.,Financials
BBLD,Buana Finance Tbk.,Financials
BBMD,Bank Mestika Dharma Tbk.,Financials
BBNI,Bank Negara Indonesia (Persero,Financials
BBRI,Bank Rakyat Indonesia (Persero,Financials
BBTN,Bank Tabungan Negara (Persero),Financials
BBYB,Bank Neo Commerce Tbk.,Financials
BCAP,MNC Kapital Indonesia Tbk.,Financials
BCIC,Bank JTrust Indonesia Tbk.,Financials
BDMN,Bank Danamon Indonesia Tbk.,Financials
BEKS,Bank Pembangunan Daerah Banten,Financials
BFIN,BFI Finance  Indonesia Tbk.,Financials
BGTG,Bank Ganesha Tbk.,Financials
BINA,Bank Ina Perdana Tbk.,Financials
BJBR,Bank Pembangunan Daerah Jawa B,Financials
BJTM,Bank Pembangunan Daerah Jawa T,Financials
BKSW,Bank QNB Indonesia Tbk.,Financials
BMAS,Bank Maspion Indonesia Tbk.,Financials
BMRI,Bank Mandiri (Persero) Tbk.,Financials
BNBA,Bank Bumi Arta Tbk.,Financials
BNGA,Bank CIMB Niaga Tbk.,Financials
BNII,Bank Maybank Indonesia Tbk.,Financials
BNLI,Bank Permata Tbk.,Financials
BPFI,Woori Finance Indonesia Tbk.,Financials
BPII,Batavia Prosperindo Internasio,Financials
BSIM,Bank Sinarmas Tbk.,Financials
BSWD,Bank Of India Indonesia Tbk.,Financials
BTPN,Bank SMBC Indonesia Tbk.,Financials
BVIC,Bank Victoria International Tb,Financials
CFIN,Clipan Finance Indonesia Tbk.,Financials
DEFI,Danasupra Erapacific Tbk.,Financials
DNAR,Bank Oke Indonesia Tbk.,Financials
DNET,Indoritel Makmur Internasional,Financials
GSMF,Equity Development Investment ,Financials
HDFA,Radana Bhaskara Finance Tbk.,Financials
INPC,Bank Artha Graha Internasional,Financials
LPGI,Lippo General Insurance Tbk.,Financials
LPPS,Lenox Pasifik Investama Tbk.,Financials
MAYA,Bank Mayapada Internasional Tb,Financials
MCOR,Bank China Construction Bank I,Financials
MEGA,Bank Mega Tbk.,Financials
MFIN,Mandala Multifinance Tbk.,Financials
MREI,Maskapai Reasuransi Indonesia ,Financials
NISP,Bank OCBC NISP Tbk.,Financials
NOBU,Bank Nationalnobu Tbk.,Financials
OCAP,Onix Capital Tbk.,Financials
PADI,Minna Padi Investama Sekuritas,Financials
PALM,Provident Investasi Bersama Tb,Financials
PANS,Panin Sekuritas Tbk.,Financials
PEGE,Panca Global Kapital Tbk.,Financials
PLAS,Polaris Investama Tbk,Financials
PNBN,Bank Pan Indonesia Tbk,Financials
PNBS,Bank Panin Dubai Syariah Tbk.,Financials
PNIN,Paninvest Tbk.,Financials
PNLF,Panin Financial Tbk.,Financials
POOL,Pool Advista Indonesia Tbk.,Financials
RELI,Reliance Sekuritas Indonesia T,Financials
SDRA,Bank Woori Saudara Indonesia 1,Financials
SMMA,Sinarmas Multiartha Tbk.,Financials
SRTG,Saratoga Investama Sedaya Tbk.,Financials
STAR,Buana Artha Anugerah Tbk.,Financials
TIFA,KDB Tifa Finance Tbk.,Financials
TRIM,Trimegah Sekuritas Indonesia T,Financials
TRUS,Trust Finance Indonesia Tbk,Financials
VICO,Victoria Investama Tbk.,Financials
VINS,Victoria Insurance Tbk.,Financials
VRNA,Mizuho Leasing Indonesia Tbk.,Financials
WOMF,Wahana Ottomitra Multiartha Tb,Financials
YULE,Yulie Sekuritas Indonesia Tbk.,Financials
CASA,Capital Financial Indonesia Tb,Financials
BRIS,Bank Syariah Indonesia Tbk.,Financials
MTWI,Malacca Trust Wuwungan Insuran,Financials
JMAS,Asuransi Jiwa Syariah Jasa Mit,Financials
NICK,Charnic Capital Tbk.,Financials
BTPS,Bank BTPN Syariah Tbk.,Financials
TUGU,Asuransi Tugu Pratama Indonesi,Financials
SFAN,Surya Fajar Capital Tbk.,Financials
LIFE,MSIG Life Insurance Indonesia ,Financials
FUJI,Fuji Finance Indonesia Tbk.,Financials
AMAR,Bank Amar Indonesia Tbk.,Financials
AMOR,Ashmore Asset Management Indon,Financials
BHAT,Bhakti Multi Artha Tbk.,Financials
BBSI,Krom Bank Indonesia Tbk.,Financials
BANK,Bank Aladin Syariah Tbk.,Financials
MASB,Bank Multiarta Sentosa Tbk.,Financials
VTNY,Venteny Fortuna International ,Financials
YOII,Asuransi Digital Bersama Tbk.,Financials
POLA,Pool Advista Finance Tbk.,Financials
AKSI,Mineral Sumberdaya Mandiri Tbk,Transportation and Logistic
ASSA,Adi Sarana Armada Tbk.,Transportation and Logistic
BIRD,Blue Bird Tbk.,Transportation and Logistic
BLTA,Berlian Laju Tanker Tbk,Transportation and Logistic
CMPP,AirAsia Indonesia Tbk.,Transportation and Logistic
GIAA,Garuda Indonesia (Persero) Tbk,Transportation and Logistic
IMJS,Indomobil Multi Jasa Tbk.,Transportation and Logistic
LRNA,Eka Sari Lorena Transport Tbk.,Transportation and Logistic
MIRA,Mitra International Resources ,Transportation and Logistic
MITI,Mitra Investindo Tbk.,Transportation and Logistic
NELY,Pelayaran Nelly Dwi Putri Tbk.,Transportation and Logistic
SAFE,Steady Safe Tbk,Transportation and Logistic
SDMU,Sidomulyo Selaras Tbk.,Transportation and Logistic
SMDR,Samudera Indonesia  Tbk.,Transportation and Logistic
TAXI,Express Transindo Utama Tbk.,Transportation and Logistic
TMAS,Temas Tbk.,Transportation and Logistic
WEHA,WEHA Transportasi Indonesia Tb,Transportation and Logistic
HELI,Jaya Trishindo Tbk.,Transportation and Logistic
TRUK,Guna Timur Raya Tbk.,Transportation and Logistic
TNCA,Trimuda Nuansa Citra Tbk.,Transportation and Logistic
BPTR,Batavia Prosperindo Trans Tbk.,Transportation and Logistic
SAPX,Satria Antaran Prima Tbk.,Transportation and Logistic
JAYA,Armada Berjaya Trans Tbk.,Transportation and Logistic
KJEN,Krida Jaringan Nusantara Tbk.,Transportation and Logistic
PURA,Putra Rajawali Kencana Tbk.,Transportation and Logistic
PPGL,Prima Globalindo Logistik Tbk.,Transportation and Logistic
TRJA,Transkon Jaya Tbk.,Transportation and Logistic
HAIS,Hasnur Internasional Shipping ,Transportation and Logistic
HATM,Habco Trans Maritima Tbk.,Transportation and Logistic
RCCC,Utama Radar Cahaya Tbk.,Transportation and Logistic
ELPI,Pelayaran Nasional Ekalya Purn,Transportation and Logistic
LAJU,Jasa Berdikari Logistics Tbk.,Transportation and Logistic
GTRA,Grahaprima Suksesmandiri Tbk.,Transportation and Logistic
MPXL,MPX Logistics International Tb,Transportation and Logistic
KLAS,Pelayaran Kurnia Lautan Semest,Transportation and Logistic
LOPI,Logisticsplus International Tb,Transportation and Logistic
DEAL,Dewata Freightinternational Tb,Transportation and Logistic
ATIC,Anabatic Technologies Tbk.,Technology
EMTK,Elang Mahkota Teknologi Tbk.,Technology
KREN,Quantum Clovera Investama Tbk.,Technology
LMAS,Limas Indonesia Makmur Tbk,Technology
MLPT,Multipolar Technology Tbk.,Technology
MTDL,Metrodata Electronics Tbk.,Technology
PTSN,Sat Nusapersada Tbk,Technology
SKYB,Northcliff Citranusa Indonesia,Technology
KIOS,Kioson Komersial Indonesia Tbk,Technology
MCAS,M Cash Integrasi Tbk.,Technology
NFCX,NFC Indonesia Tbk.,Technology
ENVY,Envy Technologies Indonesia Tb,Technology
HDIT,Hensel Davest Indonesia Tbk.,Technology
TFAS,Telefast Indonesia Tbk.,Technology
DMMX,Digital Mediatama Maxima Tbk.,Technology
GLVA,Galva Technologies Tbk.,Technology
PGJO,Tourindo Guide Indonesia Tbk.,Technology
CASH,Cashlez Worldwide Indonesia Tb,Technology
TECH,Indosterling Technomedia Tbk.,Technology
WIFI,Solusi Sinergi Digital Tbk.,Technology
DCII,DCI Indonesia Tbk.,Technology
EDGE,Indointernet Tbk.,Technology
ZYRX,Zyrexindo Mandiri Buana Tbk.,Technology
UVCR,Trimegah Karya Pratama Tbk.,Technology
BUKA,Bukalapak.com Tbk.,Technology
RUNS,Global Sukses Solusi Tbk.,Technology
WGSH,Wira Global Solusi Tbk.,Technology
WIRG,WIR ASIA Tbk.,Technology
GOTO,GoTo Gojek Tokopedia Tbk.,Technology
AXIO,Tera Data Indonusa Tbk.,Technology
BELI,Global Digital Niaga Tbk.,Technology
NINE,Techno9 Indonesia Tbk.,Technology
ELIT,Data Sinergitama Jaya Tbk.,Technology
IRSX,Aviana Sinar Abadi Tbk.,Technology
CHIP,Pelita Teknologi Global Tbk.,Technology
TRON,Teknologi Karya Digital Nusa T,Technology
MENN,Menn Teknologi Indonesia Tbk.,Technology
AWAN,Era Digital Media Tbk.,Technology
JATI,Informasi Teknologi Indonesia ,Technology
CYBR,ITSEC Asia Tbk.,Technology
IOTF,Sumber Sinergi Makmur Tbk.,Technology
MSTI,Mastersystem Infotama Tbk.,Technology
TOSK,Topindo Solusi Komunika Tbk.,Technology
MPIX,Mitra Pedagang Indonesia Tbk.,Technology
AREA,Dunia Virtual Online Tbk.,Technology
DIVA,Distribusi Voucher Nusantara T,Technology
LUCK,Sentral Mitra Informatika Tbk.,Technology
AALI,Astra Agro Lestari Tbk.,Consumer Non-Cyclicals
ADES,Akasha Wira International Tbk.,Consumer Non-Cyclicals
AISA,FKS Food Sejahtera Tbk.,Consumer Non-Cyclicals
ALTO,Tri Banyan Tirta Tbk.,Consumer Non-Cyclicals
AMRT,Sumber Alfaria Trijaya Tbk.,Consumer Non-Cyclicals
ANJT,Austindo Nusantara Jaya Tbk.,Consumer Non-Cyclicals
BISI,BISI International Tbk.,Consumer Non-Cyclicals
BTEK,Bumi Teknokultura Unggul Tbk,Consumer Non-Cyclicals
BUDI,Budi Starch & Sweetener Tbk.,Consumer Non-Cyclicals
BWPT,Eagle High Plantations Tbk.,Consumer Non-Cyclicals
CEKA,Wilmar Cahaya Indonesia Tbk.,Consumer Non-Cyclicals
CPIN,Charoen Pokphand Indonesia Tbk,Consumer Non-Cyclicals
CPRO,Central Proteina Prima Tbk.,Consumer Non-Cyclicals
DLTA,Delta Djakarta Tbk.,Consumer Non-Cyclicals
DSFI,Dharma Samudera Fishing Indust,Consumer Non-Cyclicals
DSNG,Dharma Satya Nusantara Tbk.,Consumer Non-Cyclicals
EPMT,Enseval Putera Megatrading Tbk,Consumer Non-Cyclicals
FISH,FKS Multi Agro Tbk.,Consumer Non-Cyclicals
GGRM,Gudang Garam Tbk.,Consumer Non-Cyclicals
GOLL,Golden Plantation Tbk.,Consumer Non-Cyclicals
GZCO,Gozco Plantations Tbk.,Consumer Non-Cyclicals
HERO,DFI Retail Nusantara Tbk.,Consumer Non-Cyclicals
HMSP,H.M. Sampoerna Tbk.,Consumer Non-Cyclicals
ICBP,Indofood CBP Sukses Makmur Tbk,Consumer Non-Cyclicals
INDF,Indofood Sukses Makmur Tbk.,Consumer Non-Cyclicals
JAWA,Jaya Agra Wattie Tbk.,Consumer Non-Cyclicals
JPFA,Japfa Comfeed Indonesia Tbk.,Consumer Non-Cyclicals
LAPD,Leyand International Tbk.,Consumer Non-Cyclicals
LSIP,PP London Sumatra Indonesia Tb,Consumer Non-Cyclicals
MAGP,Multi Agro Gemilang Plantation,Consumer Non-Cyclicals
MAIN,Malindo Feedmill Tbk.,Consumer Non-Cyclicals
MBTO,Martina Berto Tbk.,Consumer Non-Cyclicals
MIDI,Midi Utama Indonesia Tbk.,Consumer Non-Cyclicals
MLBI,Multi Bintang Indonesia Tbk.,Consumer Non-Cyclicals
MLPL,Multipolar Tbk.,Consumer Non-Cyclicals
MPPA,Matahari Putra Prima Tbk.,Consumer Non-Cyclicals
MRAT,Mustika Ratu Tbk.,Consumer Non-Cyclicals
MYOR,Mayora Indah Tbk.,Consumer Non-Cyclicals
PSDN,Prasidha Aneka Niaga Tbk,Consumer Non-Cyclicals
RANC,Supra Boga Lestari Tbk.,Consumer Non-Cyclicals
ROTI,Nippon Indosari Corpindo Tbk.,Consumer Non-Cyclicals
SDPC,Millennium Pharmacon Internati,Consumer Non-Cyclicals
SGRO,Sampoerna Agro Tbk.,Consumer Non-Cyclicals
SIMP,Salim Ivomas Pratama Tbk.,Consumer Non-Cyclicals
SIPD,Sreeya Sewu Indonesia Tbk.,Consumer Non-Cyclicals
SKBM,Sekar Bumi Tbk.,Consumer Non-Cyclicals
SKLT,Sekar Laut Tbk.,Consumer Non-Cyclicals
SMAR,Smart Tbk.,Consumer Non-Cyclicals
SSMS,Sawit Sumbermas Sarana Tbk.,Consumer Non-Cyclicals
STTP,Siantar Top Tbk.,Consumer Non-Cyclicals
TBLA,Tunas Baru Lampung Tbk.,Consumer Non-Cyclicals
TCID,Mandom Indonesia Tbk.,Consumer Non-Cyclicals
TGKA,Tigaraksa Satria Tbk.,Consumer Non-Cyclicals
ULTJ,Ultrajaya Milk Industry & Trad,Consumer Non-Cyclicals
UNSP,Bakrie Sumatera Plantations Tb,Consumer Non-Cyclicals
UNVR,Unilever Indonesia Tbk.,Consumer Non-Cyclicals
WAPO,Wahana Pronatural Tbk.,Consumer Non-Cyclicals
WICO,Wicaksana Overseas Internation,Consumer Non-Cyclicals
WIIM,Wismilak Inti Makmur Tbk.,Consumer Non-Cyclicals
DAYA,Duta Intidaya Tbk.,Consumer Non-Cyclicals
DPUM,Dua Putra Utama Makmur Tbk.,Consumer Non-Cyclicals
KINO,Kino Indonesia Tbk.,Consumer Non-Cyclicals
CLEO,Sariguna Primatirta Tbk.,Consumer Non-Cyclicals
HOKI,Buyung Poetra Sembada Tbk.,Consumer Non-Cyclicals
CAMP,Campina Ice Cream Industry Tbk,Consumer Non-Cyclicals
PCAR,Prima Cakrawala Abadi Tbk.,Consumer Non-Cyclicals
MGRO,Mahkota Group Tbk.,Consumer Non-Cyclicals
ANDI,Andira Agro Tbk.,Consumer Non-Cyclicals
KPAS,Cottonindo Ariesta Tbk.,Consumer Non-Cyclicals
GOOD,Garudafood Putra Putri Jaya Tb,Consumer Non-Cyclicals
FOOD,Sentra Food Indonesia Tbk.,Consumer Non-Cyclicals
BEEF,Estika Tata Tiara Tbk.,Consumer Non-Cyclicals
COCO,Wahana Interfood Nusantara Tbk,Consumer Non-Cyclicals
ITIC,Indonesian Tobacco Tbk.,Consumer Non-Cyclicals
KEJU,Mulia Boga Raya Tbk.,Consumer Non-Cyclicals
PSGO,Palma Serasih Tbk.,Consumer Non-Cyclicals
AGAR,Asia Sejahtera Mina Tbk.,Consumer Non-Cyclicals
UCID,Uni-Charm Indonesia Tbk.,Consumer Non-Cyclicals
CSRA,Cisadane Sawit Raya Tbk.,Consumer Non-Cyclicals
DMND,Diamond Food Indonesia Tbk.,Consumer Non-Cyclicals
IKAN,Era Mandiri Cemerlang Tbk.,Consumer Non-Cyclicals
PGUN,Pradiksi Gunatama Tbk.,Consumer Non-Cyclicals
PNGO,Pinago Utama Tbk.,Consumer Non-Cyclicals
KMDS,Kurniamitra Duta Sentosa Tbk.,Consumer Non-Cyclicals
ENZO,Morenzo Abadi Perkasa Tbk.,Consumer Non-Cyclicals
VICI,Victoria Care Indonesia Tbk.,Consumer Non-Cyclicals
PMMP,Panca Mitra Multiperdana Tbk.,Consumer Non-Cyclicals
FAPA,FAP Agri Tbk.,Consumer Non-Cyclicals
WMUU,Widodo Makmur Unggas Tbk.,Consumer Non-Cyclicals
TAPG,Triputra Agro Persada Tbk.,Consumer Non-Cyclicals
FLMC,Falmaco Nonwoven Industri Tbk.,Consumer Non-Cyclicals
OILS,Indo Oil Perkasa Tbk.,Consumer Non-Cyclicals
BOBA,Formosa Ingredient Factory Tbk,Consumer Non-Cyclicals
CMRY,Cisarua Mountain Dairy Tbk.,Consumer Non-Cyclicals
TAYS,Jaya Swarasa Agung Tbk.,Consumer Non-Cyclicals
WMPP,Widodo Makmur Perkasa Tbk.,Consumer Non-Cyclicals
IPPE,Indo Pureco Pratama Tbk.,Consumer Non-Cyclicals
NASI,Wahana Inti Makmur Tbk.,Consumer Non-Cyclicals
STAA,Sumber Tani Agung Resources Tb,Consumer Non-Cyclicals
NANO,Nanotech Indonesia Global Tbk.,Consumer Non-Cyclicals
TLDN,Teladan Prima Agro Tbk.,Consumer Non-Cyclicals
IBOS,Indo Boga Sukses Tbk.,Consumer Non-Cyclicals
ASHA,Cilacap Samudera Fishing Indus,Consumer Non-Cyclicals
TRGU,Cerestar Indonesia Tbk.,Consumer Non-Cyclicals
DEWI,Dewi Shri Farmindo Tbk.,Consumer Non-Cyclicals
GULA,Aman Agrindo Tbk.,Consumer Non-Cyclicals
JARR,Jhonlin Agro Raya Tbk.,Consumer Non-Cyclicals
AMMS,Agung Menjangan Mas Tbk.,Consumer Non-Cyclicals
EURO,Estee Gold Feet Tbk.,Consumer Non-Cyclicals
BUAH,Segar Kumala Indonesia Tbk.,Consumer Non-Cyclicals
CRAB,Toba Surimi Industries Tbk.,Consumer Non-Cyclicals
CBUT,Citra Borneo Utama Tbk.,Consumer Non-Cyclicals
MKTR,Menthobi Karyatama Raya Tbk.,Consumer Non-Cyclicals
SOUL,Mitra Tirta Buwana Tbk.,Consumer Non-Cyclicals
BEER,Jobubu Jarum Minahasa Tbk.,Consumer Non-Cyclicals
WINE,Hatten Bali Tbk.,Consumer Non-Cyclicals
NAYZ,Hassana Boga Sejahtera Tbk.,Consumer Non-Cyclicals
NSSS,Nusantara Sawit Sejahtera Tbk.,Consumer Non-Cyclicals
MAXI,Maxindo Karya Anugerah Tbk.,Consumer Non-Cyclicals
GRPM,Graha Prima Mentari Tbk.,Consumer Non-Cyclicals
TGUK,Platinum Wahab Nusantara Tbk.,Consumer Non-Cyclicals
PTPS,Pulau Subur Tbk.,Consumer Non-Cyclicals
STRK,Lovina Beach Brewery Tbk.,Consumer Non-Cyclicals
UDNG,Agro Bahari Nusantara Tbk.,Consumer Non-Cyclicals
AYAM,Janu Putra Sejahtera Tbk.,Consumer Non-Cyclicals
MSJA,Multi Spunindo Jaya Tbk.,Consumer Non-Cyclicals
ISEA,Indo American Seafoods Tbk.,Consumer Non-Cyclicals
GUNA,Gunanusa Eramandiri Tbk.,Consumer Non-Cyclicals
NEST,Esta Indonesia Tbk.,Consumer Non-Cyclicals
BRRC,Raja Roti Cemerlang Tbk.,Consumer Non-Cyclicals
AMFG,Asahimas Flat Glass Tbk.,Industrials
AMIN,Ateliers Mecaniques D Indonesi,Industrials
APII,Arita Prima Indonesia Tbk.,Industrials
ARNA,Arwana Citramulia Tbk.,Industrials
ASGR,Astra Graphia Tbk.,Industrials
ASII,Astra International Tbk.,Industrials
BHIT,MNC Asia Holding Tbk.,Industrials
BNBR,Bakrie & Brothers Tbk,Industrials
CTTH,Citatah Tbk.,Industrials
DYAN,Dyandra Media International Tb,Industrials
HEXA,Hexindo Adiperkasa Tbk.,Industrials
IBFN,Intan Baru Prana Tbk.,Industrials
ICON,Island Concepts Indonesia Tbk.,Industrials
IKAI,Intikeramik Alamasri Industri ,Industrials
